wmo,cycle,date,latitude,longitude
1901615,2,2025-12-11T22:04:03Z,9.867,-147.783
1902304,156,2024-03-11T20:45:53Z,54.919,-18.961
1902304,166,2024-06-19T20:24:35Z,58.658,-18.934
1902347,12,2025-01-31T10:04:16Z,-0.132,-179.437
1902347,28,2025-02-08T11:12:49Z,-0.246,-179.311
1902368,16,2024-07-29T22:01:51Z,56.353,-146.547
1902368,25,2024-10-28T18:48:18Z,55.614,-148.259
1902369,42,2025-01-12T08:50:20Z,44.91,-131.713
1902370,49,2024-11-24T09:42:27Z,5.664,165.897
1902370,74,2025-08-03T23:07:46Z,5.338,167.411
1902371,17,2024-05-14T02:25:54Z,51.96,-142.963
1902372,17,2025-04-22T16:12:21Z,0.088,92.932
1902373,58,2026-01-15T00:43:10Z,14.129,90.172
1902373,68,2026-04-27T05:45:22Z,13.778,89.998
1902374,41,2025-04-25T15:07:56Z,51.184,-172.14
1902374,66,2026-01-04T09:40:19Z,51.416,-161.915
1902380,123,2025-05-23T04:32:55Z,19.493,-43.916
1902380,140,2025-11-10T10:45:47Z,18.31,-47.783
1902382,100,2024-10-01T23:13:55Z,19.16,-31.536
1902383,144,2025-12-25T20:48:30Z,23.436,-60.07
1902453,36,2024-05-16T19:10:10Z,-1.993,71.579
1902453,91,2025-11-21T14:46:57Z,-3.784,73.233
1902455,32,2024-04-06T22:10:54Z,2.232,64.413
1902457,65,2025-03-05T11:28:39Z,5.202,67.828
1902457,93,2025-12-13T02:11:03Z,5.943,68.131
1902489,2,2024-05-21T16:00:16Z,1.068,-85.49
1902490,13,2024-06-28T11:58:20Z,-30.704,-0.895
1902490,29,2024-12-05T08:24:37Z,-31.721,-2.8
1902490,32,2025-01-04T15:03:55Z,-31.84,-4.493
1902491,58,2025-10-12T14:15:54Z,-54.736,49.423
1902492,22,2024-09-08T15:13:25Z,0.668,-9.492
1902492,77,2026-03-17T05:53:20Z,-1.826,6.243
1902493,65,2025-12-05T19:01:09Z,-30.532,-10.124
1902493,77,2026-04-05T14:07:44Z,-30.614,-12.559
1902494,37,2025-01-25T08:12:14Z,-48.57,14.023
1902495,32,2024-12-30T20:13:52Z,-19.549,-1.808
1902495,35,2025-01-30T01:31:51Z,-18.642,-2.194
1902495,42,2025-04-10T12:48:29Z,-19.072,-2.629
1902496,62,2025-10-26T20:42:45Z,-15.334,-2.076
1902496,87,2026-07-05T18:40:33Z,-15.691,-1.044
1902497,10,2024-05-20T10:07:31Z,-12.817,1.789
1902498,15,2024-07-06T19:45:00Z,-5.869,-3.612
1902498,25,2024-10-14T18:43:56Z,-7.022,-3.34
1902500,38,2025-03-03T05:19:17Z,-21.117,-1.341
1902593,117,2026-03-16T03:09:48Z,-51.049,163.977
1902594,61,2024-12-17T20:11:38Z,10.327,85.632
1902601,51,2024-03-19T13:14:09Z,11.705,-24.257
1902601,65,2024-06-01T13:06:13Z,11.679,-25.239
1902602,207,2026-03-15T11:20:00Z,64.669,-4.666
1902602,219,2026-05-14T11:29:00Z,64.409,-5.83
1902605,162,2024-03-26T11:27:00Z,42.596,7.914
1902605,244,2025-05-10T11:27:00Z,43.118,7.524
1902628,8,2026-03-14T07:04:20Z,-39.631,-45.516
1902628,15,2026-05-24T05:11:23Z,-46.323,-53.708
1902637,58,2024-06-14T13:29:16Z,59.92,-17.748
1902637,59,2024-06-19T13:25:16Z,60.033,-17.568
1902644,42,2025-02-12T04:23:29Z,-18.672,-71.882
1902646,16,2024-04-01T18:04:22Z,33.207,-179.819
1902646,17,2024-04-12T01:11:10Z,33.19,-179.857
1902648,17,2024-10-01T07:59:46Z,-64.692,-160.227
1902648,29,2025-02-01T22:45:42Z,-64.945,-160.754
1902648,30,2025-02-12T04:54:01Z,-64.948,-160.875
1902650,67,2026-01-07T20:26:44Z,-54.408,97.642
1902651,76,2026-04-06T02:36:41Z,-36.517,111.541
